date,item_name,total_amount_sold,avg_bottle_price,total_volume_sold_liters,total_sale_dollars,avg_bottle_profit,day_of_week,week_of_year,month,year,ma7_total_amount_sold,ma7_avg_bottle_price,ma7_total_sale_dollars,ma30_total_amount_sold,ma30_avg_bottle_price,ma30_total_sale_dollars
2021-01-04,1800 ANEJO,13,33.62,9.75,437.06,11.209999999999997,2,1,1,2021,13.0,33.62,437.06,13.0,33.62,437.06
2021-01-05,1800 ANEJO,4,33.62,3.0,134.48,11.209999999999997,3,1,1,2021,8.5,33.62,285.77,8.5,33.62,285.77
2021-01-06,1800 ANEJO,2,33.62,1.5,67.24,11.209999999999997,4,1,1,2021,6.333333333333333,33.62,212.92666666666668,6.333333333333333,33.62,212.92666666666668
2021-01-11,1800 ANEJO,3,33.62,2.25,100.86,11.209999999999997,2,2,1,2021,5.5,33.62,184.91,5.5,33.62,184.91
2021-01-12,1800 ANEJO,7,33.62,5.25,235.34,11.209999999999997,3,2,1,2021,5.8,33.62,194.996,5.8,33.62,194.996
2021-01-13,1800 ANEJO,5,33.62,3.75,168.1,11.209999999999997,4,2,1,2021,5.666666666666667,33.62,190.51333333333332,5.666666666666667,33.62,190.51333333333332
2021-01-14,1800 ANEJO,7,33.62,5.25,235.33999999999997,11.209999999999997,5,2,1,2021,5.857142857142857,33.62,196.91714285714286,5.857142857142857,33.62,196.91714285714286
2021-01-15,1800 ANEJO,1,33.62,0.75,33.62,11.209999999999997,6,2,1,2021,4.142857142857143,33.62,139.28285714285713,5.25,33.62,176.505
2021-01-26,1800 ANEJO,1,33.62,0.75,33.62,11.209999999999997,3,4,1,2021,3.7142857142857144,33.62,124.8742857142857,4.777777777777778,33.62,160.6288888888889
2021-01-27,1800 ANEJO,1,33.62,0.75,33.62,11.209999999999997,4,4,1,2021,3.5714285714285716,33.62,120.07142857142857,4.4,33.62,147.928
